employee_id,historical_absence_rate,weather_precip,weather_temp,traffic_congestion
f1e44140389ef6fbc7b7f4331f44ddc88d67c5a645618c185599774017e575f9,0.87,14.28,8.8,0.04
0755f6debb71e9b222becaeb487b4a416f13cae2ad44d7f97c1deba466399d58,0.64,42.26,29.2,0.41
0d01c5b361127e4d675a663af1b4b7cb732064f0211128c49c9b8e3fd7c21187,0.17,20.59,17.0,0.77
734ba0f09782a6c8a39b9efbfe716f812575e3869cff1ffc969283c6b2be5fac,0.94,42.09,-1.1,0.44
8ce78199d655988cd555d6f1c64113c2fe50dbf455c394380c103865d837cad5,0.87,34.73,13.6,0.0
8bed13d12b6a47224edf9d9a3954edf65e9eb359b3127f69ae8adc6fe8c4dbc3,0.87,25.8,29.4,0.95
29a18b1f9758bfbb02c360c21caae536e988ae067cfacd58768e9d4a38bbde79,0.99,3.46,-0.3,0.68
74d7b30fe7be12a06b1d79eeb3d3aa5f31fa850e55fa005e537bcb23456c302a,0.88,25.5,15.8,0.74
e0fd2ea38fe46a9a2bc13d15c4d0ea854cbf67886bcf8700bb65337808890686,0.94,45.52,25.8,0.03
e22ad4fd292a960d6ab729efb35c77207d107a9f7b4996366ee0029f945eec05,0.6,29.66,39.1,0.02
40ebacb1ad4cf4b4439b5b2e1d4df2a35008b5c2fbf339ff92999a3d0a79a442,0.8,5.38,1.7,0.73
a8c4451a1652ed2e2186143aee322ad03e9436111ee9690403954eb8a9fa3f9c,0.1,49.34,10.1,0.13
131aa3623b7357bc0c5d3eb017e214f6e59100ff8803bb14826019c91d52c355,0.92,31.49,38.2,0.91
ee51352360d899fa8e4742ca8783774eab2fcdd482ffa65d2c67c18152a199d5,0.58,34.89,-8.2,0.41
9949e4bd96fc40277d57f000e5fc6bcae89685bdf5f4ca770befc4b48dd6c5b3,0.18,23.62,2.1,0.41
53d478c99df0598df5605b0119268cfca3ef1d4d96ec7fe5d472b8a861c5d0e1,0.26,33.05,8.8,0.76
c06bffbd2f82a55652a3a09393174ff61fadddc884826af84bf27ae386bef88c,0.19,6.05,35.8,0.62
ec77b73c51d61f1e86cec19d7f156c14f68c5ea897626095290167f1f223f80f,0.45,27.82,-4.9,0.13
ee7ac215817501f1297d7776d6b9a22b2dfdd5b516eecc1ada7b5edc0a33b8a5,0.62,13.98,-2.9,0.57
fff31375d6288788d804d41f6b5075d07c077d4aec4313f87406044ab635978d,0.59,16.37,5.3,0.8
7420f3aae81f01ffd873738f5d9f6aba79233d0e679770e7362b8176960df8c8,0.9,34.05,6.0,0.84
032d1c33dd26e923b6fcb63415f3951153579c65dddbb4c831673d865921776d,0.19,17.13,-6.4,0.4
7b13446830364c11c944ed22d1529f2d989d498057d231da45de76ee1d21a316,0.23,20.22,5.8,0.98
cb59b4644928e0ebbc2ef6aef9d3947cab698495704ded15eaf9ea6ecefddd7d,0.13,3.51,5.1,0.85
8d2cdfd4e2bb839fa0658bad0d267023519acae6a9a432d0c307ac2441042ed7,0.17,12.86,-5.9,0.52
d3c573c9ce8c24c228a3d796db940c166716db124d8527595dd69b6d42fb6644,0.24,19.61,-1.7,0.57
f17a26c5ff448ddd9086c4249f05c7bf212908777f8a48843f6e3418cffd159d,0.62,34.09,12.7,0.8
99ac1b706f8197c7b76873749c3b41d6bb19734c55e69c3d32a15c3b60840127,0.88,43.98,35.4,0.58
a2af8d039d70e64b159975cc8243d1db0ea66e3ee370862dbf09218a37f9b16f,0.98,24.06,22.3,0.54
4350e8aff5c0a00da20df4a1158b020848ac88b2f418e7260b563ea3e706155f,0.88,6.63,5.5,0.87
7074531e2d2a2c3c61eea7d96f5124021b542a511ab0f12f61012f485e075962,0.18,23.14,37.0,0.93
ca9affac4f5487b42260e8dc040108dda9471776ce7c5f0accd358246764f3a1,0.85,11.25,-2.4,0.5
d8ff996430ebe36d5bc3953bacb009f046596a4a1cac61c3d2ccb979b0decbf7,0.06,44.46,38.9,0.6
7277d1c1d24c0c74c3e1fbe0c866d99da1448b8f34dcf3632779954dd0cd1198,0.89,7.1,-10.0,0.19
e6bb2c6ac73e4291d41cb6b4ac17572d8e482b418a510ecfe50781f6d251e91d,0.58,18.62,33.0,0.96
a3d501ca99b9d173808eb832b1202bcf23876dba6ec6cee75a91ece694c345c0,0.51,1.85,11.9,0.02
0e61c09f29ebdb36266036163ddf1da6f09f60d1801b478a872ba4e5c29cba81,0.09,11.05,34.9,0.42
17dcb51ea1f160bfc0b819c57ad78b9489aab119404e8766314225839226566f,0.5,3.95,28.4,0.11
ee3081e6bdc60375d7728bff9c98538dc3022e7511be44f91c30b18d69bdaa15,0.47,34.63,8.8,0.6
176c7058b486d5eec1bea89faa82767368f5786191d16da7ecbd7c08368a5ecc,0.13,33.69,23.5,0.2
a877639d1e0eea2cee8917bfc416f0f9d67bdb372679cebac5a6fd92d7c8320d,0.41,5.03,30.2,0.12
91da01d57a00b730b678159f16f3e2c8463d58e28cc16d6de8120b275b80c29e,0.66,46.58,-1.2,0.22
952c056ab414607ac78d8fbc19a77126d492af076f2a1560ca4465f25f4cce1b,0.38,32.17,24.4,0.91
b857c68bd278f2564e42d6060cb60abfafda308fac7ba27471e846cd127cee6d,0.0,11.73,11.8,0.56
7801e2c84c1cce4ee6883f87508c3f26de1223b520711583e8b77fff23003ce7,0.09,39.76,3.3,0.5
3a3b405fece2ca59bafc915ae5b55716df8ff0a6e0d78e6724b7fafe17604681,0.03,15.27,8.8,0.31
6c1c4f5d58f4c961d7fdd05a33655c269dad0e46de514bd9176f21c391fdb3b5,0.99,0.84,36.2,0.79
5ad62ca23f65795808272ecf8d9e67892b7d15432a0d33020f88b69fac1cbc92,0.75,16.32,8.8,0.42
7d30b0dea14d81ce76dec61a074add9233fee48eb50e96daae43fc361a04382f,0.37,35.92,-3.4,0.16
476fa0c378475a0b04bd8308bdcbbfc009016bb51ae4ca139a74900b614cb0da,0.53,46.9,35.6,0.46
80f4b5b85c177801801b088733f9a8a06129889e65ef358f3b46d71a1f109622,0.54,17.33,1.5,0.8
75a6b6a86112322d2a3f2707d6309bb13b68604274696bf150b5fc72825a09be,0.01,44.63,-4.7,0.68
721fd9f5c88cf302aff9f4214f642dd53fe4e2aa380ea524fd32ce6a4a74d1d8,0.25,43.14,24.1,0.89
ebd8f5e767649bc7bef03483220879c8f24a66499558671e0469a129f4dd0ac1,0.72,46.32,8.7,0.87
527b8f391da967cf772653b3bd5b2853eeb4335fbb41348b274dbffba6c82cb1,0.51,11.03,-3.0,0.74
6101c50c7f75916d64547ea4c60b52d2201cefc13dddd40e4ee2a15a5df1c9d7,0.72,38.35,36.6,0.04
2e381ce93b7ff4d95de73b4d9c5296c1de312c3e25eb86c32914e1251cf044bd,0.39,26.97,10.4,0.78
46defd0de60c10cdcad217ab0b5106fe815239b5b81cd17b87528d1b682ea324,0.4,26.07,15.7,0.59
4d912ddb728cdb6f0e642755c1624aef42c82565829a73c35b34751c0d51d1d5,0.59,40.96,15.8,0.68
7e9a475b5afb89fc81c5dc160c737e3b85b07f84af3ba01c0346a71c410ddda9,0.47,25.52,17.5,0.69
3db59e338430a09704606e0d27777ca09723259b5f96990307063d4dc79eb532,0.83,30.66,12.3,0.94
d3cf9b273ebd8c3f6f03349863a75ec7e011abd173163dd2213e1479ae465891,0.44,42.09,4.2,0.17
65f9b7a3dfaeeb36dabac6535819e63fe19cb3d8a26cbfbae6a56e25ab47c00c,0.95,4.95,15.2,0.39
7bb2c71fa4d439df6b23bc9da1fc75fdb3f637f95e9aa1a49b1ae3b93e395edf,0.91,26.64,27.2,0.68
d1a61d97f5f6d9b2931d1007bcf676c18f4abe3b54857840477c62916705d9bd,0.32,43.85,17.0,0.23
094865bc168848accda5c23a503438427dcca5751c1898cc9acc9ef99b180ba5,0.78,46.39,22.3,0.68
560b3111e55c645e6db94107e41d70e6a18430cb17f97b9c4a2d878da4e4f121,0.3,29.25,2.1,0.87
bd3092480a33f5562b5e7383da409e406e7a4d7b8d4d5d3ce034d24a20da22ac,0.48,11.83,37.9,0.88
